mu_scale_GeV,model,threshold,E_critical_standard_V_per_m,E_critical_polymer_V_per_m,enhancement_factor
3.792690190732238e+17,exponential,-10,58178800743.449356,58178800743.449356,1.0
1.128837891684693e+18,exponential,-10,58178800743.449356,58178800743.449356,1.0
3.359818286283788e+18,exponential,-10,58178800743.449356,58178800743.449356,1.0
1e+19,exponential,-10,58178800743.449356,58178800743.449356,1.0
10000000000.0,rainbow,-100,5885315775.19145,5885315775.19145,1.0
29763514416.31313,rainbow,-100,5885315775.19145,5885315775.19145,1.0
88586679041.00832,rainbow,-100,5885315775.19145,5885315775.19145,1.0
263665089873.03555,rainbow,-100,5885315775.19145,5885315775.19145,1.0
784759970351.4623,rainbow,-100,5885315775.19145,5885315775.19145,1.0
2335721469090.121,rainbow,-100,5885315775.19145,5885315775.19145,1.0
6951927961775.591,rainbow,-100,5885315775.19145,5885315775.19145,1.0
20691380811147.902,rainbow,-100,5885315775.19145,5885315775.19145,1.0
61584821106602.55,rainbow,-100,5885315775.19145,5885315775.19145,1.0
183298071083243.75,rainbow,-100,5885315775.19145,5885315775.19145,1.0
545559478116851.44,rainbow,-100,5885315775.19145,5885315775.19145,1.0
1623776739188717.5,rainbow,-100,5885315775.19145,5885315775.19145,1.0
4832930238571752.0,rainbow,-100,5885315775.19145,5885315775.19145,1.0
1.438449888287666e+16,rainbow,-100,5885315775.19145,5885315775.19145,1.0
4.281332398719396e+16,rainbow,-100,5885315775.19145,5885315775.19145,1.0
1.2742749857031322e+17,rainbow,-100,5885315775.19145,5885315775.19145,1.0
3.792690190732238e+17,rainbow,-100,5885315775.19145,5885315775.19145,1.0
1.128837891684693e+18,rainbow,-100,5885315775.19145,5885315775.19145,1.0
3.359818286283788e+18,rainbow,-100,5885315775.19145,5885315775.19145,1.0
1e+19,rainbow,-100,5885315775.19145,5885315775.19145,1.0
10000000000.0,rainbow,-50,11589483034.398117,11589483034.398117,1.0
29763514416.31313,rainbow,-50,11589483034.398117,11589483034.398117,1.0
88586679041.00832,rainbow,-50,11589483034.398117,11589483034.398117,1.0
263665089873.03555,rainbow,-50,11589483034.398117,11589483034.398117,1.0
784759970351.4623,rainbow,-50,11589483034.398117,11589483034.398117,1.0
2335721469090.121,rainbow,-50,11589483034.398117,11589483034.398117,1.0
6951927961775.591,rainbow,-50,11589483034.398117,11589483034.398117,1.0
20691380811147.902,rainbow,-50,11589483034.398117,11589483034.398117,1.0
61584821106602.55,rainbow,-50,11589483034.398117,11589483034.398117,1.0
183298071083243.75,rainbow,-50,11589483034.398117,11589483034.398117,1.0
545559478116851.44,rainbow,-50,11589483034.398117,11589483034.398117,1.0
1623776739188717.5,rainbow,-50,11589483034.398117,11589483034.398117,1.0
4832930238571752.0,rainbow,-50,11589483034.398117,11589483034.398117,1.0
1.438449888287666e+16,rainbow,-50,11589483034.398117,11589483034.398117,1.0
4.281332398719396e+16,rainbow,-50,11589483034.398117,11589483034.398117,1.0
1.2742749857031322e+17,rainbow,-50,11589483034.398117,11589483034.398117,1.0
3.792690190732238e+17,rainbow,-50,11589483034.398117,11589483034.398117,1.0
1.128837891684693e+18,rainbow,-50,11589483034.398117,11589483034.398117,1.0
3.359818286283788e+18,rainbow,-50,11589483034.398117,11589483034.398117,1.0
1e+19,rainbow,-50,11589483034.398117,11589483034.398117,1.0
10000000000.0,rainbow,-20,29544079988.8038,29544079988.8038,1.0
29763514416.31313,rainbow,-20,29544079988.8038,29544079988.8038,1.0
88586679041.00832,rainbow,-20,29544079988.8038,29544079988.8038,1.0
263665089873.03555,rainbow,-20,29544079988.8038,29544079988.8038,1.0
784759970351.4623,rainbow,-20,29544079988.8038,29544079988.8038,1.0
2335721469090.121,rainbow,-20,29544079988.8038,29544079988.8038,1.0
6951927961775.591,rainbow,-20,29544079988.8038,29544079988.8038,1.0
20691380811147.902,rainbow,-20,29544079988.8038,29544079988.8038,1.0
61584821106602.55,rainbow,-20,29544079988.8038,29544079988.8038,1.0
183298071083243.75,rainbow,-20,29544079988.8038,29544079988.8038,1.0
545559478116851.44,rainbow,-20,29544079988.8038,29544079988.8038,1.0
1623776739188717.5,rainbow,-20,29544079988.8038,29544079988.8038,1.0
4832930238571752.0,rainbow,-20,29544079988.8038,29544079988.8038,1.0
1.438449888287666e+16,rainbow,-20,29544079988.8038,29544079988.8038,1.0
4.281332398719396e+16,rainbow,-20,29544079988.8038,29544079988.8038,1.0
1.2742749857031322e+17,rainbow,-20,29544079988.8038,29544079988.8038,1.0
3.792690190732238e+17,rainbow,-20,29544079988.8038,29544079988.8038,1.0
1.128837891684693e+18,rainbow,-20,29544079988.8038,29544079988.8038,1.0
3.359818286283788e+18,rainbow,-20,29544079988.8038,29544079988.8038,1.0
1e+19,rainbow,-20,29544079988.8038,29544079988.8038,1.0
10000000000.0,rainbow,-10,58178800743.449356,58178800743.449356,1.0
29763514416.31313,rainbow,-10,58178800743.449356,58178800743.449356,1.0
88586679041.00832,rainbow,-10,58178800743.449356,58178800743.449356,1.0
263665089873.03555,rainbow,-10,58178800743.449356,58178800743.449356,1.0
